 ,No-brainer keywords,Keywords as separate words (simulated in tool),Negative keywords,Headline,Link pointing to,Bottom-text
Snooker,"snooker, snooker",,,Are you into snooker?,https://www.ultimatelysocial.com/Snooker-themed-icons/?utm_source=any_settings_page&utm_campaign=Snooker_icons&utm_medium=banner,
DIY,"do-it-yourself, doityourself, lifehack, lifehacker, lifehackers, mrfixit, mrfix-it","DIY, repair, repairing, repair",,Your site is about DIY,https://www.ultimatelysocial.com/DIY-themed-icons/?utm_source=any_settings_page&utm_campaign=DIY_icons&utm_medium=banner,
Video,"Movie, Cinema, filmaker, filmakers","TV, Film, video, videos","montevideo, videogame, videogames",Is your site about video entertainment?,https://www.ultimatelysocial.com/Video-themed-icons/?utm_source=any_settings_page&utm_campaign=Video_icons&utm_medium=banner,
Law,"attorney, attorneys, lawyer, lawyers, tribunal, tribunals, abogado, adwokat","law, laws, judge, judges",,Are you a lawyer?,https://www.ultimatelysocial.com/Law-themed-icons/?utm_source=any_settings_page&utm_campaign=Law_icons&utm_medium=banner,
Occult,"paranormal, occult, occultism, illusionism, illusionist, parapsychology","ghost, ghosts, haunted, ",ghostscript,Is your site about paranormal?,https://www.ultimatelysocial.com/Occult-themed-icons/?utm_source=any_settings_page&utm_campaign=Occult_icons&utm_medium=banner,
Toys,"LEGO, Playmobil, monopoly, boardgames, board-games","toys, toy, kid, kids","sextoy, sextoys",Are you into toys?,https://www.ultimatelysocial.com/Toys-themed-icons/?utm_source=any_settings_page&utm_campaign=Toys_icons&utm_medium=banner,
Fishing,"fishing, fisherman, fishermans",,,Do you love fishing?,https://www.ultimatelysocial.com/Fishing-themed-icons/?utm_source=any_settings_page&utm_campaign=Fishing_icons&utm_medium=banner,
Fantasy,"Elves, fairy, fairies","fantasy, dungeon, d&d, dungeons",,Are you a fantasy geek?,https://www.ultimatelysocial.com/Fantasy-themed-icons/?utm_source=any_settings_page&utm_campaign=Fantasy_icons&utm_medium=banner,
Scifi,"sciencefiction, science-fiction, scifi, sci-fi, starship, starships, spaceship, spaceships, startrek, starwars",,,Are you a sci-fi geek?,https://www.ultimatelysocial.com/Scifi-themed-icons/?utm_source=any_settings_page&utm_campaign=Scifi_icons&utm_medium=banner,
Shopping,"ecommerce, e-commerce, voucher, coupon, boutique","shop, shops, shopper, shoppers, shopping, shoppings","photoshop, photoshops, photoshopper, photoshoppers,photoshopping, photoshoppings",Is your site about ecommerce?,https://www.ultimatelysocial.com/Shopping-themed-icons/?utm_source=any_settings_page&utm_campaign=Shopping_icons&utm_medium=banner,
Dinosaurs,"paleontology, palaeontology, paleontologist, dinosaur, dinosaurs, pterosaur, pterosaurs, jurassic, triassic, cretaceous, mesozoic",,,Do you love dinosaurs?,https://www.ultimatelysocial.com/Dinosaurs-themed-icons/?utm_source=any_settings_page&utm_campaign=Dinosaurs_icons&utm_medium=banner,
Vegetables,"vegetables, vegetarian, veggie, vegan, verdure, verdura, legume, salad, aubergine, beet, broccoli, cabbage, pepper, cauliflower, cucumber, garlic, potato, olive, onion, pumpkin, squash ",,"beetribe, beetravel, beetribes, beetravels",Do you love vegan cuisine?,https://www.ultimatelysocial.com/Vegetables-themed-icons/?utm_source=any_settings_page&utm_campaign=Vegetables_icons&utm_medium=banner,
Fruits," grape, grapes, pommegrenade, peach, strawberry, strawberries, pineapple, watermelon, frutta, fruity","mango, mangoes, fruit, fruits,",,Is your website all about fruit?,https://www.ultimatelysocial.com/Fruits-themed-icons/?utm_source=any_settings_page&utm_campaign=Fruits_icons&utm_medium=banner,
SeaLife,"fish, fishes, dolphin, whale, whale","crab, crabs",,Do you love marine life?,https://www.ultimatelysocial.com/SeaLife-themed-icons/?utm_source=any_settings_page&utm_campaign=SeaLife_icons&utm_medium=banner,
Science,"science, sciences, scientific, scientist, scientists, physics, quantum, astronomy, mathematic, robotics, nasa, mathematica, Invention, inventions, genious, gizmo, gizmos, contraption, contraptions, novelty, novelties",math,,Are you into science?,https://www.ultimatelysocial.com/Science-themed-icons/?utm_source=any_settings_page&utm_campaign=Science_icons&utm_medium=banner,
Hunting,"hunting, hunter, poaching, poach, falconry, falconer",,,Is your website about hunting?,https://www.ultimatelysocial.com/Hunting-themed-icons/?utm_source=any_settings_page&utm_campaign=Hunting_icons&utm_medium=banner,
Flags,"canada, italy, india, germany, philippines, japan, korea, switzerland, finland, china, taiwan, spain, argentina, france, turkey, iran, iraq, syria, lebanon, united kingdom, thailand, russia, ukraine, pakistan, ethiopia, egypt, netherlands, singapore, sweden, ireland, canadian, italian, italiano, indian, german, filipino, pinoy, pinay, japanese, nihon, korean, finnish, chinese, taiwanese, spanish, argentino, french, turkish, iranian, syrian, lebanese, english, thai, russian, ukrain, pakistani, ethiopian, egyptian, singaporean, swedish, irish, indonesia, indonesian, malaysia, malaysian, ","usa, uae, uk",,Your site is about a certain country? ,https://www.ultimatelysocial.com/Flags-themed-icons/?utm_source=any_settings_page&utm_campaign=Flags_icons&utm_medium=banner,
Jewelry,"jewel, jewelry, earring, pendant, necklace, watches","diamond, diamonds, watch",,Your site is about jewlery?,https://www.ultimatelysocial.com/Jewelry-themed-icons/?utm_source=any_settings_page&utm_campaign=Jewelry_icons&utm_medium=banner,
Family,"parenthood, motherhood, pregnancy, fatherhood,","mother, mom, moms mothers, father, mommy, mama","mothership, motherships",Is your site about family?,https://www.ultimatelysocial.com/Family-themed-icons/?utm_source=any_settings_page&utm_campaign=Family_icons&utm_medium=banner,
Communications,"antenna, telephone, GLONASS, telecommunication, satellite, networking, telecom, tel-co","GPS, GSM, CDMA, LTE, GPRS, HSDPA, HSUPA",,Are you a telecommunications company?,https://www.ultimatelysocial.com/Communications-themed-icons/?utm_source=any_settings_page&utm_campaign=Communications_icons&utm_medium=banner,
Construction,"construction, bulldozer, piledriver, steamroller, excavator, prefabricate, hardhat, hard-hat, scaffold, scaffolding, cemento",cement,,Are you a construction company?,https://www.ultimatelysocial.com/Construction-themed-icons/?utm_source=any_settings_page&utm_campaign=Construction_icons&utm_medium=banner,
History,"history, historian, helennistic, ancient world, medieval, renaissance, romanempire, pharaoh","ancient, antiquity",,Is your site about History?,https://www.ultimatelysocial.com/History-themed-icons/?utm_source=any_settings_page&utm_campaign=History_icons&utm_medium=banner,
Education,"education, educator, school, university, lyceum, ateneo, università. student, career, instituto, escuela, teacher, alumni, universitario, universitaria, jobs","edu, job","joben, jobless",Is your site about Education?,https://www.ultimatelysocial.com/Education-themed-icons/?utm_source=any_settings_page&utm_campaign=Education_icons&utm_medium=banner,
Furniture,"Furniture, sofa,","carpet, carpets, chair, chairs,",redcarpet,Is your site about furnitures?,https://www.ultimatelysocial.com/Furniture-themed-icons/?utm_source=any_settings_page&utm_campaign=Furniture_icons&utm_medium=banner,
